state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
ME,Farmingdale town,24670,5,5,0,0
ME,Farmington town,24775,12,10,2,0
ME,Fayette town,24950,17,15,2,0
ME,Fort Fairfield town,25615,5,5,0,0
ME,Fort Kent town,25755,0,0,0,0
ME,Franklin town,26350,15,11,4,0
ME,Freedom town,26420,6,6,0,0
ME,Freeport town,26525,30,30,0,0
ME,Frenchboro town,26595,0,0,0,0
ME,Frenchville town,26735,0,0,0,0
ME,Friendship town,26805,9,9,0,0
ME,Frye Island town,27025,11,11,0,0
ME,Fryeburg town,26910,27,27,0,0
ME,Gardiner,27085,38,28,4,6
ME,Garland town,27190,4,4,0,0
ME,Georgetown town,27295,7,7,0,0
ME,Gilead town,27505,0,0,0,0
ME,Glenburn town,27645,6,6,0,0
ME,Gorham town,28240,62,62,0,0
ME,Gouldsboro town,28450,13,13,0,0
ME,Gray town,28870,58,44,14,0
ME,Great Pond town,28975,0,0,0,0
ME,Greenbush town,29185,6,6,0,0
ME,Greene town,29255,16,16,0,0
ME,Greenville town,29535,85,85,0,0
ME,Greenwood town,29710,0,0,0,0
ME,Hallowell,30550,22,5,0,17
ME,Hampden town,30795,29,19,6,4
ME,Hancock town,30970,27,25,2,0
ME,Hanover town,31110,4,4,0,0
ME,Harpswell town,31390,31,31,0,0
ME,Harrington town,31530,8,8,0,0
ME,Harrison town,31600,34,32,2,0
ME,Hartford town,31670,12,12,0,0
ME,Hartland town,31740,6,4,2,0
ME,Haynesville town,32195,0,0,0,0
ME,Hebron town,32370,6,6,0,0
ME,Hermon town,32510,33,33,0,0
ME,Hersey town,32685,1,1,0,0
ME,Hiram town,33315,11,11,0,0
ME,Hodgdon town,33385,1,1,0,0
ME,Holden town,33490,10,10,0,0
ME,Hollis town,33665,27,27,0,0
ME,Hope town,33840,7,5,2,0
ME,Houlton town,33980,18,7,6,5
ME,Howland town,34190,2,2,0,0
ME,Hudson town,34365,17,17,0,0
ME,Industry town,34820,8,8,0,0
ME,Islesboro town,35240,3,3,0,0
ME,Jefferson town,35695,21,21,0,0
ME,Jonesboro town,35905,0,0,0,0
ME,Jonesport town,36010,0,0,0,0
ME,Kenduskeag town,36325,3,3,0,0
ME,Kennebunk town,36535,69,41,28,0
ME,Kennebunkport town,36745,22,22,0,0
ME,Kingfield town,37025,15,7,0,8
ME,Kittery town,37270,205,38,0,167
ME,Knox town,37585,0,0,0,0
ME,Lamoine town,38180,9,7,2,0
ME,Lebanon town,38425,30,30,0,0
ME,Lee town,38530,1,1,0,0
ME,Leeds town,38565,16,16,0,0
ME,Levant town,38705,31,13,2,16
ME,Lewiston,38740,32,32,0,0
ME,Limerick town,39195,15,15,0,0
ME,Limestone town,39300,0,0,0,0
ME,Limington town,39405,25,25,0,0
ME,Lincoln town,39475,11,11,0,0
ME,Lincolnville town,39755,18,18,0,0
ME,Linneus town,39965,0,0,0,0
ME,Lisbon town,40035,16,16,0,0
ME,Litchfield town,40175,24,24,0,0
ME,Littleton town,40595,1,1,0,0
ME,Livermore Falls town,40770,25,17,8,0
ME,Livermore town,40665,13,13,0,0
ME,Long Island town,41067,4,4,0,0
ME,Lovell town,41365,7,7,0,0
ME,Lowell town,41435,3,3,0,0
ME,Ludlow town,41715,0,0,0,0
ME,Lyman town,41750,21,21,0,0
ME,Machias town,41960,2,2,0,0
ME,Machiasport town,42100,0,0,0,0
ME,Madawaska town,42520,15,8,2,5
ME,Madison town,42660,23,21,2,0
ME,Maine Unorganized Territory,,109,109,0,0
ME,Manchester town,43080,7,7,0,0
ME,Mapleton town,43255,10,8,2,0
ME,Mariaville town,43430,3,3,0,0
ME,Mars Hill town,43710,1,1,0,0
ME,Marshfield town,43640,0,0,0,0
ME,Masardis town,43990,0,0,0,0
ME,Mattawamkeag town,44270,2,2,0,0
ME,Maxfield town,44340,6,6,0,0
ME,Mechanic Falls town,44585,25,25,0,0
ME,Meddybemps town,44760,0,0,0,0
ME,Medway town,45005,0,0,0,0
ME,Merrill town,45180,0,0,0,0
ME,Mexico town,45285,7,7,0,0
ME,Milbridge town,45600,0,0,0,0
ME,Milford town,45670,0,0,0,0
ME,Millinocket town,45810,1,1,0,0
ME,Milo town,46020,6,6,0,0
ME,Minot town,46160,8,8,0,0
ME,Monmouth town,46405,19,19,0,0
ME,Monson town,46580,9,9,0,0
ME,Monticello town,46685,0,0,0,0
ME,Morrill town,47245,5,5,0,0
ME,Moscow town,47455,0,0,0,0
ME,Mount Desert town,47630,19,19,0,0
ME,Mount Vernon town,47770,28,28,0,0
ME,Naples town,48085,56,52,4,0
ME,New Canada town,48575,0,0,0,0
ME,New Gloucester town,48820,25,25,0,0
ME,New Limerick town,48960,5,5,0,0
ME,New Sharon town,49345,18,18,0,0
ME,New Sweden town,49415,1,1,0,0
ME,New Vineyard town,49520,3,3,0,0
ME,Newburgh town,48505,8,3,2,3
ME,Newcastle town,48645,3,3,0,0
ME,Newfield town,48750,14,14,0,0
ME,Newport town,49065,15,15,0,0
ME,Newry town,49275,14,14,0,0
ME,Nobleboro town,49660,17,17,0,0
ME,North Berwick town,50325,39,39,0,0
ME,North Haven town,51620,10,10,0,0
ME,North Yarmouth town,53860,24,24,0,0
ME,Northfield town,51375,0,0,0,0
ME,Northport town,52845,15,15,0,0
ME,Norway town,54000,34,34,0,0
ME,Oakland town,54560,12,12,0,0
ME,Ogunquit town,54980,11,11,0,0
ME,Old Orchard Beach town,55085,86,78,2,6
ME,Old Town,55225,49,11,2,36
ME,Orient town,55435,0,0,0,0
ME,Orono town,55565,15,13,2,0
ME,Orrington town,55680,10,8,2,0
ME,Otisfield town,55960,16,16,0,0
ME,Owls Head town,56135,2,2,0,0
ME,Oxford town,56310,26,26,0,0
ME,Palermo town,56450,6,6,0,0
ME,Palmyra town,56520,23,11,12,0
ME,Paris town,56625,20,20,0,0
ME,Parsonsfield town,56870,8,8,0,0
ME,Patten town,57150,3,3,0,0
ME,Pembroke town,57780,0,0,0,0
ME,Penobscot town,57920,8,8,0,0
ME,Perham town,58060,2,2,0,0
ME,Perry town,58165,6,6,0,0
ME,Peru town,58270,4,4,0,0
ME,Phillips town,58445,8,8,0,0
ME,Phippsburg town,58515,18,18,0,0
ME,Pittsfield town,59005,2,2,0,0
ME,Pittston town,59110,52,52,0,0
ME,Plymouth town,59950,0,0,0,0
ME,Poland town,60020,15,13,2,0
ME,Portage Lake town,60300,0,0,0,0
ME,Porter town,60405,5,5,0,0
ME,Portland,60545,127,26,8,93
ME,Pownal town,60685,9,9,0,0
ME,Presque Isle,60825,4,4,0,0
ME,Randolph town,61700,7,7,0,0
ME,Rangeley town,61840,42,40,2,0
ME,Raymond town,61945,9,9,0,0
ME,Readfield town,62190,17,17,0,0
ME,Richmond town,62645,12,12,0,0
ME,Ripley town,62995,2,2,0,0
